,MUV-466,MUV-548,MUV-600,MUV-644,MUV-652,MUV-689,MUV-692,MUV-712,MUV-713,MUV-733,MUV-737,MUV-810,MUV-832,MUV-846,MUV-852,MUV-858,MUV-859,mol_id,smiles
0,,,,,,,,0.0,,,,0.0,,,,,,CID2999678,Cc1cccc(N2CCN(C(=O)C34CC5CC(CC(C5)C3)C4)CC2)c1C
1,0.0,0.0,,,0.0,0.0,0.0,,,,0.0,,0.0,,,0.0,0.0,CID2999679,Cn1ccnc1SCC(=O)Nc1ccc(Oc2ccccc2)cc1
2,,,0.0,,,,,,,,,,,,,,0.0,CID2999672,COc1cc2c(cc1NC(=O)CN1C(=O)NC3(CCc4ccccc43)C1=O)oc1ccccc12
3,,0.0,0.0,,,0.0,,,,,,,,,,0.0,,CID5390002,O=C1/C(=C/NC2CCS(=O)(=O)C2)c2ccccc2C(=O)N1c1ccccc1
4,0.0,,,,0.0,,0.0,0.0,,,,,,,,,,CID2999670,NC(=O)NC(Cc1ccccc1)C(=O)O
5,,,,,,,0.0,,0.0,0.0,,,,,,0.0,,CID2999671,CCn1c(CSc2nccn2C)nc2cc(C(=O)O)ccc21
6,,,0.0,0.0,,,,0.0,,,0.0,,0.0,,,0.0,,CID5390007,CCc1cccc2c1NC(=O)C21C2C(=O)N(Cc3ccccc3)C(=O)C2C2CCCN21
7,,,,,,,,0.0,,,0.0,,,,,,,CID5390006,COc1ccc(C2C(C(=O)NCc3ccccc3)=C(C)N=C3N=CNN32)cc1OC
8,,0.0,,,0.0,,0.0,,,0.0,,,,,,,,CID2999674,CCCc1cc(=O)nc(SCC(=O)N(CC(C)C)C2CCS(=O)(=O)C2)[nH]1
9,,0.0,0.0,,,,,,,0.0,,,,,,,,CID2999675,CCn1cnc2c1c(=O)n(CC(=O)Nc1cc(C)on1)c(=O)n2Cc1ccccc1
10,,,,,,,0.0,,,,,,0.0,,,,0.0,CID647486,Cc1cccc(NC(=O)N2CCC(c3nc4ccccc4o3)CC2)c1
11,,,,,0.0,,0.0,,,,,0.0,0.0,,,,,CID647484,O=C(O)c1ccc(S(=O)(=O)N2CCC(c3nc(-c4ccccc4Cl)no3)CC2)cc1
12,0.0,,0.0,0.0,0.0,,,,0.0,,,0.0,0.0,,,,0.0,CID647485,O=C(NCc1ccco1)c1csc(Nc2ccccc2Cl)n1
13,,,0.0,,,0.0,0.0,0.0,,,,,0.0,,,,,CID647482,COc1ccccc1Nc1nc2c(s1)CCC2
14,0.0,,,,,0.0,,,,,0.0,,0.0,,,0.0,0.0,CID647483,O=C(CN1CCCC1)Nc1ccc(Oc2ccc(NC(=O)CN3CCCC3)cc2)cc1
15,,0.0,,,0.0,,0.0,,,,,,,,0.0,,0.0,CID647480,Cc1nn(-c2ccccc2)c(Cl)c1C1C(C#N)=C(N)OC2=C1C(=O)CCC2
16,,,0.0,,,,0.0,,0.0,,,,,,,,0.0,CID647481,O=C(NCCNC(=O)C(c1ccccc1)c1ccccc1)c1ccco1
17,0.0,0.0,,,,,0.0,,,,,0.0,,,,,,CID581177,CN(C)C1(c2nnnn2-c2ccc(Cl)cc2)CCCCC1
18,0.0,,,0.0,0.0,,0.0,,,0.0,,0.0,0.0,,,,0.0,CID332934,CCOC(=O)C1=C(C)NC(=O)NC1c1ccc(N(C)C)cc1
19,,,,,,,,,,,,,,0.0,,,,CID647488,CCOC(=O)C1(Cc2ccc(O)cc2)NC(c2ccco2)C2C(=O)N(c3ccccc3F)C(=O)C21
20,,,,,,,,,,,,,0.0,,,,,CID647489,CC(C)(C)NC(=O)CN(C(=O)CS(=O)CC(=O)Nc1ccc(F)cc1)c1ccc(F)c(Cl)c1
21,,,,,,0.0,,,,,,,,,,,,CID3311675,CCCCN(CC)C(=O)Cc1cn(C)c2ccccc12
22,,,,,,,,,,,,,,0.0,,,,CID848866,S=C(c1ccccc1)N1CCCc2ccccc21
23,,,,,,0.0,,,,,,,,0.0,,,,CID2248403,O=C(CN(Cc1ccccc1)S(=O)(=O)c1ccccc1)N/N=C/c1ccc2c(c1)OCO2
24,,,,,,,,,,,,,,,0.0,,,CID2186540,O=C(O)/C(=C\c1ccco1)NC(=O)c1cccc2ccccc12
25,,,,,,,,,0.0,0.0,,,,0.0,0.0,,,CID1249798,Cc1cc(OC(=O)c2ccco2)c2c(C)cc(=O)oc2c1
26,,,0.0,,0.0,,,,0.0,,,,,,,,,CID649466,COc1ccc(S(=O)(=O)NCC(=O)N(CC(=O)NCC2CCCO2)c2ccccc2)cc1
27,,,0.0,,,,0.0,0.0,,,,,,,,0.0,,CID5390003,COc1ccccc1NC(=O)C1=C(C)N=C2N=CNN2C1c1ccc(C)o1
28,0.0,,,,,,,,,,,,,,,,,CID649464,Cc1onc(-c2c(Cl)cccc2Cl)c1C(=O)Nc1c(C)n(C)n(-c2ccccc2)c1=O
29,,0.0,,,,,,,0.0,,0.0,0.0,0.0,,,,,CID1157494,Cc1c(C(=O)Nc2c(C)n(C)n(-c3ccccc3)c2=O)oc2ccccc12
30,,0.0,,0.0,,,,,,,,,,,,,,CID649462,Cc1cc(N2CCOCC2)n2nc(-c3cccc(F)c3)cc2n1
31,,,0.0,0.0,,,0.0,,,,0.0,,,,,,,CID649463,O=C1c2cccnc2C(=O)N1c1cccc(-c2nc3ccccc3o2)c1
