Product	EMA	FDA	EN	Other	WHO	Year	Generic	DrugBank ID	ATC	ChEMBL	Indications	Targets	Last Update	
Abemaciclib	Y	Y	N		N	2017	N	<a href="https://go.drugbank.com/drugs/DB12001">DB12001</a>	L01EF03	<a href="https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL3301610">CHEMBL3301610</a>	Advanced Breast Cancer; Metastatic Breast Cancer	CCND2; KRAS; CDK4; CDK6; NRAS; PIK3CA; CDKN2A; ESR1; BRAF; SMARCA4; CCND3; ERBB2; CCND1; PGR; TP53; ESR2	2024-02-07	
Abiraterone	Y	Y	N		Y	2011	Y	<a href="https://go.drugbank.com/drugs/DB05812">DB05812</a>	L02BX03	<a href="https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL254328">CHEMBL254328</a>	Metastatic Castration Resistant Prostate Cancer	CYP17A1; CHEK2; PTEN; CDK12; TSPYL1; ATM; SRD5A1; SRD5A2; PALB2; SRD5A3; BRIP1; APC; DSE; TP53; YBX1; FANCA; AR	2024-02-07	
Acalabrutinib	Y	Y	N		N	2017	N	<a href="https://go.drugbank.com/drugs/DB11703">DB11703</a>	L01EL02	<a href="https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL3707348">CHEMBL3707348</a>	Chronic Lymphocytic Leukaemia (CLL); Mantle Cell Lymphoma (MCL); Small Lymphocytic Lymphoma	BTK; TP53	2024-02-07	
Aclarubicin	N	N	N	Japan	N			<a href="https://go.drugbank.com/drugs/DB11617">DB11617</a>	L01DB04	<a href="https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL502620">CHEMBL502620</a>		CSF2; SMN1; TOP2A	2024-02-07	
Adagrasib	N	Y	N		N	2022	N	<a href="https://go.drugbank.com/drugs/DB15568">DB15568</a>	L01XX77	<a href="https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL4594350">CHEMBL4594350</a>	Locally Advanced Non-Small Cell Lung Cancer, Metastatic Non-Small Cell Lung Cancer	KRAS	2024-02-07	
Afatinib	Y	Y	N		Y	2013	N	<a href="https://go.drugbank.com/drugs/DB08916">DB08916</a>	L01EB03	<a href="https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL1173655">CHEMBL1173655</a>	Metastatic Non-Small Cell Lung Cancer; Refractory, metastatic squamous cell Non-small cell lung cancer	ERBB2; EGFR; ERBB4; PIK3CA; ROS1; EML4; ERBB3; PTEN; NRG1; BRAF; KRAS; ALK	2024-02-07	
Aflibercept	Y	Y	N		N	2011	N	<a href="https://go.drugbank.com/drugs/DB08885">DB08885</a>	S01LA05; L01XX44	<a href="https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL1742982">CHEMBL1742982</a>	Metastatic Colorectal Cancer (MCRC)	VEGFB; PIGF; PGF; VEGFC; VEGFA	2024-02-07	
Aldesleukin	N	Y	Y		N	1992	N	<a href="https://go.drugbank.com/drugs/DB00041">DB00041</a>	L03AC01	<a href="https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL1201438">CHEMBL1201438</a>	High Risk Neuroblastoma; Metastatic Melanoma; Metastatic Renal Cell Carcinoma	IL2RB; IL2RA; IL2; IL2RG; CD40; EPCAM	2024-02-07	
Alectinib	Y	Y	N		N	2015	N	<a href="https://go.drugbank.com/drugs/DB11363">DB11363</a>	L01ED03	<a href="https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL1738797">CHEMBL1738797</a>	Refractory, metastatic Non small cell lung cancer	RET; ALK; ROS1; BRAF; TP53; EML4	2024-02-07	
Alemtuzumab	Y	Y	N		N	2001	N	<a href="https://go.drugbank.com/drugs/DB00087">DB00087</a>	L04AA34	<a href="https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL1201587">CHEMBL1201587</a>	B-Cell Chronic Lymphocytic Leukemia; T-Cell Prolymphocytic Leukemia	CD52; TP53; CXCL12	2024-02-07	
Alitretinoin	Y	Y	N		N	1999	N	<a href="https://go.drugbank.com/drugs/DB00523">DB00523</a>	D11AH04; L01XF02	<a href="https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL705">CHEMBL705</a>		CD34; RXRB; RARG; ERBB2; RARB; RXRA; CETP; VDR; CCR2; SFTPA1; RXRG; P2RY2; SERPINE1; EHMT2; CGA; RARA	2024-02-07	
Alpelisib	Y	Y	N		N	2019	N	<a href="https://go.drugbank.com/drugs/DB12015">DB12015</a>	L01EM03	<a href="https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL2396661">CHEMBL2396661</a>	Advanced Metastatic Breast Cancer	PIK3C3; PIK3R4; PIK3R3; MAP2K1; PIK3CA; ERBB2; PIK3R1; RB1; SGK1; HRAS; PIK3R5; PIK3R6; ESR1; BRAF; FGFR3; PIK3CG; PTEN; CDK4; PIK3CB; ARID1A; PIK3C2A; PIK3C2B; ESR2; PI4KA; FGFR1; NRAS; MTOR; FGFR2; PIK3CD; PIK3C2G; TP53; PIK3R2	2024-02-07	
Altretamine	N	N	Y		N	1990	N	<a href="https://go.drugbank.com/drugs/DB00488">DB00488</a>	L01XX03	<a href="https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL1455">CHEMBL1455</a>	Ovarian Cancer; Ovarian Cancer Stage III	CYP1A2	2024-02-07	
Aminolevulinic Acid	Y	Y	N		N	1999	N	<a href="https://go.drugbank.com/drugs/DB00855">DB00855</a>	L01XD04	<a href="https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL601">CHEMBL601</a>	Basal Cell Carcinoma (BCC); Squamous Cell Carcinoma (SCC)	BCL2	2024-02-07	
Amivantamab	Y	Y	N		N	2021	N	<a href="https://go.drugbank.com/drugs/DB16695">DB16695</a>	L01FX18	<a href="https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL4297774">CHEMBL4297774</a>	Locally Advanced Non-Small Cell Lung Cancer, Metastatic Non-Small Cell Lung Cancer	EGFR; MET	2024-02-07	
Amrubicin	N	N	N	Japan	N	2002		<a href="https://go.drugbank.com/drugs/DB06263">DB06263</a>	L01DB10	<a href="https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL1186894">CHEMBL1186894</a>		TOP2A	2024-02-07	
Amsacrine	N	N	N		N	1987	N	<a href="https://go.drugbank.com/drugs/DB00276">DB00276</a>	L01XX01	<a href="https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL43">CHEMBL43</a>	Leukemia, Acute; Refractory Leukemia	TOP2A; MTOR; ATXN2; CYP1A2; CYP2C19; CYP2C9; BTF3P11; ATAD5; CYP3A4; CYP2D6; HSD17B10; CBX1; DRD1; EHMT2; TOP2B	2024-02-07	
Anastrozole	N	Y	Y		Y	1995	Y	<a href="https://go.drugbank.com/drugs/DB01217">DB01217</a>	L02BG03	<a href="https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL1399">CHEMBL1399</a>	Advanced Breast Cancer; Early Breast Cancer; Locally Advanced Breast Cancer (LABC); Metastatic Breast Cancer; Invasive, early Breast Cancer	CYP19A1; KMT2C; ESR1; ESR2; TNFSF11; PGR; TNFRSF11B; IGF2; ERBB2; CYP1B1; MAP4K4; TUBB1; DLG2; CSMD1	2024-02-07	
