diseaseId	diseaseName	drugId	drugName	type	mechanismOfAction	actionType	symbol	name	phase	status	source
EFO_0003095	non-alcoholic fatty liver disease	CHEMBL1431	METFORMIN	Small molecule	Mitochondrial complex I (NADH dehydrogenase) inhibitor	Inhibitor	NDUFB4	NADH:ubiquinone oxidoreductase subunit B4	4	Completed	https://clinicaltrials.gov/ct2/show/NCT02147925
EFO_0003095	non-alcoholic fatty liver disease	CHEMBL1431	METFORMIN	Small molecule	Mitochondrial complex I (NADH dehydrogenase) inhibitor	Inhibitor	NDUFAB1	NADH:ubiquinone oxidoreductase subunit AB1	4	Completed	https://clinicaltrials.gov/ct2/show/NCT02147925
EFO_1001249	non-alcoholic steatohepatitis	CHEMBL628	PENTOXIFYLLINE	Small molecule	3',5'-cyclic phosphodiesterase inhibitor		PDE4A	phosphodiesterase 4A	4	Completed	https://clinicaltrials.gov/ct2/show/NCT04977661
EFO_1001249	non-alcoholic steatohepatitis	CHEMBL628	PENTOXIFYLLINE	Small molecule	3',5'-cyclic phosphodiesterase inhibitor		PDE8A	phosphodiesterase 8A	4	Completed	https://clinicaltrials.gov/ct2/show/NCT04977661
EFO_1001249	non-alcoholic steatohepatitis	CHEMBL628	PENTOXIFYLLINE	Small molecule	3',5'-cyclic phosphodiesterase inhibitor		PDE9A	phosphodiesterase 9A	4	Completed	https://clinicaltrials.gov/ct2/show/NCT04977661
EFO_1001249	non-alcoholic steatohepatitis	CHEMBL628	PENTOXIFYLLINE	Small molecule	3',5'-cyclic phosphodiesterase inhibitor		PDE7B	phosphodiesterase 7B	4	Completed	https://clinicaltrials.gov/ct2/show/NCT04977661
EFO_0003095	non-alcoholic fatty liver disease	CHEMBL1431	METFORMIN	Small molecule	Mitochondrial complex I (NADH dehydrogenase) inhibitor	Inhibitor	NDUFA6	NADH:ubiquinone oxidoreductase subunit A6	4	Completed	https://clinicaltrials.gov/ct2/show/NCT02147925
EFO_0003095	non-alcoholic fatty liver disease	CHEMBL1431	METFORMIN	Small molecule	Mitochondrial complex I (NADH dehydrogenase) inhibitor	Inhibitor	NDUFC1	NADH:ubiquinone oxidoreductase subunit C1	4	Completed	https://clinicaltrials.gov/ct2/show/NCT02147925
EFO_0003095	non-alcoholic fatty liver disease	CHEMBL121	ROSIGLITAZONE	Small molecule	Peroxisome proliferator-activated receptor gamma agonist		PPARG	peroxisome proliferator activated receptor gamma	4	Terminated	https://clinicaltrials.gov/ct2/show/NCT01406704
EFO_0003095	non-alcoholic fatty liver disease	CHEMBL1431	METFORMIN	Small molecule	Mitochondrial complex I (NADH dehydrogenase) inhibitor	Inhibitor	NDUFA4L2	NDUFA4 mitochondrial complex associated like 2	4	Completed	https://clinicaltrials.gov/ct2/show/NCT02147925
